1967 02 19 2214 112.956 -9.045  85.4 6.35 MW 
1983 10 31 1737 119.074 -9.018  80.0 6.39 MW gcmt
1983 12 18 1728 119.621 -8.948  79.9 5.81 MW gcmt
1985 04 13 0105 114.236 -9.098  82.7 5.90 MW gcmt
1987 12 17 2022 114.551 -9.067  45.0 5.99 MW gcmt
1988 04 04 1612 112.761 -9.358  43.7 5.85 MW gcmt
1988 04 08 1120 117.465 -8.824 112.0 5.72 MW gcmt
1994 04 25 2221 113.030 -9.403  51.7 5.73 MW gcmt
1998 09 28 1334 112.424 -8.139 156.7 6.53 MW gcmt
1998 11 08 0725 121.338 -9.116  54.4 6.32 MW gcmt
2000 10 30 1201 118.996 -9.752  40.0 5.94 MW gcmt
2002 07 24 0305 118.573 -9.277  40.0 5.88 MW gcmt
2007 05 24 0106 118.827 -9.533  65.0 5.57 MW gcmt
2008 08 06 2241 117.723 -8.106  49.6 5.93 MW gcmt
2009 07 13 1052 119.377 -9.143  75.0 5.94 MW gcmt
2009 09 18 2306 115.595 -9.172  75.0 5.74 MW gcmt
2011 05 17 0014 112.568 -9.139  40.0 5.67 MW gcmt
2011 10 13 0316 114.558 -9.351  60.0 6.17 MW gcmt
2012 01 20 2032 119.609 -8.547 125.0 5.77 MW gcmt
2013 07 08 0213 113.017 -8.721  70.6 5.73 MW gcmt
2015 07 26 0705 112.681 -9.192  61.6 5.90 MW gcmt
2016 11 16 1510 113.183 -8.928  99.0 5.71 MW gcmt
2016 12 29 2230 118.646 -8.957  94.9 6.26 MW gcmt
2017 03 21 2310 115.239 -8.555 132.3 5.69 MW gcmt
2019 07 16 0018 114.486 -8.978  86.5 5.76 MW GA
2021 04 10 0700 112.524 -8.672  91.6 5.98 MW GA
2022 08 22 0836 115.585 -8.936 129.4 5.51 MW GA
